processed 479 tokens with 154 phrases; found: 155 phrases; correct: 137.
accuracy:  94.99%; precision:  88.39%; recall:  88.96%; FB1:  88.67
        Criterion: precision:  96.97%; recall: 100.00%; FB1:  98.46  33
      StationDest: precision:  83.33%; recall:  68.97%; FB1:  75.47  24
    StationDestto: precision:   0.00%; recall:   0.00%; FB1:   0.00  0
     StationStart: precision:  79.66%; recall:  90.38%; FB1:  84.68  59
    StationStart!: precision:   0.00%; recall:   0.00%; FB1:   0.00  0
    StationStart.: precision:   0.00%; recall:   0.00%; FB1:   0.00  0
      TimeEndTime: precision:   0.00%; recall:   0.00%; FB1:   0.00  1
          Vehicle: precision: 100.00%; recall: 100.00%; FB1: 100.00  38
